DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Central Police Division - Total,299,326,230,216,304,347,313,216,304,342,333,337,373
    Robbery,3,4,7,3,8,17,14,15,21,26,37,34,50
    Housebreaking,13,20,25,29,29,24,18,18,33,40,49,32,48
    Snatch Theft,1,4,0,5,5,15,10,6,19,24,36,31,47
    Theft Of Motor Vehicle,5,10,8,3,6,7,17,13,25,33,25,47,48
    Outrage Of Modesty,277,288,190,176,256,284,254,164,206,219,186,193,180
Central Police Division - Bukit Merah East NPC,66,76,65,60,73,97,89,55,83,103,95,84,124
    Robbery,0,2,1,2,3,2,2,3,3,7,6,8,15
    Housebreaking,4,5,9,12,13,12,7,2,12,17,7,9,13
    Snatch Theft,0,2,0,1,0,8,3,2,6,10,13,7,20
    Theft Of Motor Vehicle,1,4,3,0,1,1,6,1,8,12,9,12,18
    Outrage Of Modesty,61,63,52,45,56,74,71,47,54,57,60,48,58
Central Police Division - Marina Bay NPC,158,152,90,77,147,156,134,81,112,113,92,106,125
    Robbery,1,1,3,0,1,5,4,0,4,2,5,8,12
    Housebreaking,5,8,7,7,6,4,5,7,11,10,9,6,18
    Snatch Theft,0,1,0,3,1,3,0,1,3,5,6,3,9
    Theft Of Motor Vehicle,1,3,2,1,1,3,6,4,2,1,2,4,9
    Outrage Of Modesty,151,139,78,66,138,141,119,69,92,95,70,85,77
Central Police Division - Rochor NPC,73,96,72,76,84,94,89,80,109,126,146,147,124
    Robbery,2,1,3,1,4,10,8,12,14,17,26,18,23
    Housebreaking,4,7,9,10,10,8,6,9,10,13,33,17,17
    Snatch Theft,1,1,0,1,4,4,7,3,10,9,17,21,18
    Theft Of Motor Vehicle,3,3,3,2,4,3,5,8,15,20,14,31,21
    Outrage Of Modesty,63,84,57,62,62,69,63,48,60,67,56,60,45
Central Police Division - Unknown NPC,2,2,3,3,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,2,2,3,3,0,0,0,0,0,0,0,0,0
Clementi Police Division - Total,153,169,190,203,231,213,244,203,206,262,299,346,380
    Robbery,0,2,2,4,2,3,4,5,9,25,23,24,47
    Housebreaking,12,7,11,32,33,32,22,26,22,49,69,92,85
    Snatch Theft,0,0,1,2,4,4,7,3,13,17,19,27,30
    Theft Of Motor Vehicle,6,11,7,9,4,8,15,16,25,19,43,60,65
    Outrage Of Modesty,135,149,169,156,188,166,196,153,137,152,145,143,153
Clementi Police Division - Bukit Merah West NPC,33,43,41,54,52,52,64,64,48,66,82,105,135
    Robbery,0,1,0,2,1,1,0,2,2,12,6,6,22
    Housebreaking,5,3,4,16,12,5,5,9,5,8,17,25,18
    Snatch Theft,0,0,0,0,1,0,4,1,2,4,4,6,12
    Theft Of Motor Vehicle,2,2,5,1,1,2,3,6,7,9,17,25,36
    Outrage Of Modesty,26,37,32,35,37,44,52,46,32,33,38,43,47
Clementi Police Division - Clementi NPC,31,31,32,43,48,40,50,37,54,71,60,81,73
    Robbery,0,1,0,0,0,2,1,1,3,3,8,5,8
    Housebreaking,1,1,0,9,6,8,7,4,6,20,10,19,25
    Snatch Theft,0,0,0,2,1,2,1,0,3,7,3,7,6
    Theft Of Motor Vehicle,1,4,2,1,3,0,4,3,7,4,6,16,10
    Outrage Of Modesty,29,25,30,31,38,28,37,29,35,37,33,34,24
Clementi Police Division - Jurong East NPC,45,52,45,46,62,56,64,40,52,68,73,67,83
    Robbery,0,0,2,1,0,0,2,1,2,9,5,9,9
    Housebreaking,4,0,3,5,5,8,3,3,6,7,9,12,17
    Snatch Theft,0,0,1,0,0,0,1,2,5,4,5,4,5
    Theft Of Motor Vehicle,1,4,0,5,0,3,3,3,8,2,9,8,8
    Outrage Of Modesty,40,48,39,35,57,45,55,31,31,46,45,34,44
Clementi Police Division - Queenstown NPC,43,43,71,60,69,65,66,62,52,57,84,93,89
    Robbery,0,0,0,1,1,0,1,1,2,1,4,4,8
    Housebreaking,2,3,4,2,10,11,7,10,5,14,33,36,25
    Snatch Theft,0,0,0,0,2,2,1,0,3,2,7,10,7
    Theft Of Motor Vehicle,2,1,0,2,0,3,5,4,3,4,11,11,11
    Outrage Of Modesty,39,39,67,55,56,49,52,47,39,36,29,32,38
Clementi Police Division - Unknown NPC,1,0,1,0,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,1,0,1,0,0,0,0,0,0,0,0,0,0
Tanglin Police Division - Total,280,277,231,202,321,353,301,267,260,324,370,406,423
    Robbery,1,3,3,6,11,10,12,14,15,30,31,36,35
    Housebreaking,19,9,9,24,26,24,17,31,32,47,79,56,75
    Snatch Theft,0,3,1,0,2,2,1,4,8,16,17,33,42
    Theft Of Motor Vehicle,1,3,5,4,7,6,9,12,14,28,35,39,47
    Outrage Of Modesty,259,259,213,168,275,311,262,206,191,203,208,242,224
Tanglin Police Division - Bishan NPC,29,25,37,19,22,44,29,35,29,35,57,43,67
    Robbery,0,0,1,0,0,1,2,4,1,3,6,1,6
    Housebreaking,2,0,1,3,0,5,2,4,5,9,9,16,17
    Snatch Theft,0,0,0,0,0,0,0,0,3,2,4,0,7
    Theft Of Motor Vehicle,0,1,4,0,1,0,1,5,3,5,5,4,11
    Outrage Of Modesty,27,24,31,16,21,38,24,22,17,16,33,22,26
Tanglin Police Division - Bukit Timah NPC,31,31,33,29,39,41,25,27,29,40,38,48,32
    Robbery,0,0,0,1,0,3,0,0,1,4,1,2,1
    Housebreaking,2,2,3,2,6,5,2,8,7,8,14,11,7
    Snatch Theft,0,0,0,0,0,0,0,0,0,4,2,5,1
    Theft Of Motor Vehicle,0,0,0,2,1,2,0,2,2,3,4,2,8
    Outrage Of Modesty,29,29,30,24,32,31,23,17,19,21,17,28,15
Tanglin Police Division - Kampong Java NPC,36,31,45,39,35,33,38,32,43,51,63,65,52
    Robbery,0,0,1,4,2,1,2,2,6,6,15,6,6
    Housebreaking,3,2,1,8,4,1,3,3,6,10,13,9,8
    Snatch Theft,0,0,0,0,0,1,0,1,2,6,2,3,7
    Theft Of Motor Vehicle,0,1,0,1,1,0,1,1,1,5,4,17,5
    Outrage Of Modesty,33,28,43,26,28,30,32,25,28,24,29,30,26
Tanglin Police Division - Orchard NPC,129,137,66,62,156,185,158,124,108,138,135,162,156
    Robbery,0,1,0,0,3,2,5,5,6,8,7,15,10
    Housebreaking,5,2,2,5,5,9,3,8,5,11,13,10,17
    Snatch Theft,0,1,0,0,1,0,1,0,3,4,7,10,14
    Theft Of Motor Vehicle,0,0,0,0,2,1,3,3,1,7,6,2,7
    Outrage Of Modesty,124,133,64,57,145,173,146,108,93,108,102,125,108
Tanglin Police Division - Toa Payoh NPC,53,50,49,53,69,50,51,49,51,60,77,88,116
    Robbery,1,2,1,1,6,3,3,3,1,9,2,12,12
    Housebreaking,7,3,2,6,11,4,7,8,9,9,30,10,26
    Snatch Theft,0,2,1,0,1,1,0,3,0,0,2,15,13
    Theft Of Motor Vehicle,1,1,1,1,2,3,4,1,7,8,16,14,16
    Outrage Of Modesty,44,42,44,45,49,39,37,34,34,34,27,37,49
Tanglin Police Division - Unknown NPC,2,3,1,0,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,2,3,1,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio Police Division - Total,261,304,288,225,285,424,385,355,380,366,403,580,625
    Robbery,4,1,5,6,11,10,9,17,12,31,40,46,66
    Housebreaking,16,12,18,23,25,57,25,39,35,39,47,121,120
    Snatch Theft,9,1,4,2,8,12,15,9,16,20,26,39,70
    Theft Of Motor Vehicle,11,20,16,7,8,18,35,32,65,43,77,140,118
    Outrage Of Modesty,221,270,245,187,233,327,301,258,252,233,213,234,251
Ang Mo Kio Police Division - Ang Mo Kio North NPC,28,34,35,35,26,34,34,37,31,45,42,61,74
    Robbery,0,0,1,1,0,0,1,3,0,1,4,5,10
    Housebreaking,3,1,2,4,1,3,1,4,3,3,8,12,18
    Snatch Theft,2,0,0,0,2,1,3,1,2,4,5,3,8
    Theft Of Motor Vehicle,0,1,0,1,0,2,2,5,4,4,5,13,13
    Outrage Of Modesty,23,32,32,29,23,28,27,24,22,33,20,28,25
Ang Mo Kio Police Division - Ang Mo Kio South NPC,34,26,30,13,40,44,35,38,39,41,35,71,59
    Robbery,0,0,1,0,4,1,0,2,3,4,5,9,12
    Housebreaking,0,1,5,2,2,4,4,3,3,7,0,7,10
    Snatch Theft,2,1,3,0,4,3,2,3,1,3,5,10,10
